app_id,game,genres,release_year,release_date,metacritic_score,steam_positive_review_pct,steam_total_reviews,total_achievements,easiest_achievement_pct,hardest_achievement_pct,median_achievement_pct,wall_achievement,wall_drop_pct,wall_before_pct,wall_after_pct,wall_position_ratio,half_players_gone_ratio,ten_pct_at
72850,The Elder Scrolls V: Skyrim,RPG,2011,"Nov 10, 2011",94,94.8,317604,75,88.5,3.6,28.7,NEW_ACHIEVEMENT_1_0,9.5,88.5,79.0,0.0,0.173,64
377160,Fallout 4,RPG,2015,"Nov 9, 2015",84,81.2,422743,84,83.3,1.5,13.7,NEW_ACHIEVEMENT_1_0,17.0,83.3,66.3,0.0,0.071,51
22380,Fallout: New Vegas,"Action, RPG",2010,"21 Oct, 2010",84,96.0,255320,75,92.2,1.9,13.6,A31,44.7,92.2,47.5,0.0,0.013,48
1086940,Baldur's Gate 3,"Adventure, RPG, Strategy",2023,"Aug 3, 2023",96,96.8,833071,54,89.5,2.6,24.6,BG3_Quest01,23.6,89.5,65.9,0.0,0.167,39
990080,Hogwarts Legacy,"Action, Adventure, RPG",2023,"Feb 10, 2023",83,89.9,364003,45,92.6,2.3,20.8,PFA_23,10.5,72.5,62.0,0.067,0.133,34
1551360,Forza Horizon 5,"Action, Adventure, Racing, Simulation, Sports",2021,"8 Nov, 2021",,89.1,268059,164,93.8,0.2,5.1,ACHIEVEMENT_2,11.2,79.8,68.6,0.012,0.073,51
367520,Hollow Knight,"Action, Adventure, Indie",2017,"24 Feb, 2017",87,96.9,535519,63,76.9,3.8,24.7,HORNET_1,13.8,62.9,49.1,0.032,0.048,50
1145360,Hades,"Action, Indie, RPG",2020,"Sep 17, 2020",93,98.1,300556,49,82.2,5.9,19.9,AchClearAsphodel,9.9,72.8,62.9,0.02,0.122,40
1100600,Hades II,"Simulation, Sports",2019,"Nov 19, 2019",84,89.3,31671,97,73.1,0.1,20.7,achievement_sell_player,5.4,69.0,63.6,0.031,0.165,62
431960,Wallpaper Engine,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",2018,"16 Nov, 2018",,98.0,971811,17,83.9,1.0,6.1,PEST,23.3,33.4,10.1,0.235,0.176,6
945360,Among Us,Casual,2018,"16 Nov, 2018",85,91.9,726175,33,46.7,0.5,11.7,win_impostor_vote,7.2,23.0,15.8,0.394,0.0,17
526870,Satisfactory,"Adventure, Indie, Simulation, Strategy",2024,"Sep 10, 2024",91,97.2,265977,44,52.8,2.1,18.2,GATHERED_ALL_SLUG_TYPES,6.3,33.5,27.2,0.341,0.068,34
